"date","cases","deaths"
NA,545593,5820
NA,545616,5820
NA,545616,5820
NA,545665,5820
NA,545777,5820
NA,545777,5820
NA,545839,5820
NA,545878,5820
NA,545899,5820
NA,545899,5820
NA,545926,5820
NA,545951,5820
NA,545963,5820
NA,546047,5821
NA,546110,5823
NA,546110,5823
NA,546122,5823
NA,546202,5823
NA,546202,5823
NA,546262,5824
NA,546384,5824
NA,546384,5824
NA,546461,5824
NA,546489,5825
NA,546534,5825
NA,546534,5825
NA,546733,5825
NA,546733,5825
NA,546839,5827
NA,546839,5827
NA,546890,5827
NA,547049,5827
NA,547049,5827
NA,547112,5827
NA,547301,5828
NA,547351,5828
NA,547351,5828
NA,547396,5828
NA,547396,5828
NA,547631,5828
NA,547631,5828
NA,547772,5829
NA,547772,5829
NA,547891,5829
NA,547891,5829
NA,547962,5829
NA,548061,5829
NA,548150,5829
NA,548150,5829
NA,548348,5830
NA,548455,5830
NA,548570,5830
NA,548570,5830
NA,548570,5830
NA,548800,5830
NA,548965,5830
NA,549085,5830
NA,549207,5830
NA,549273,5830
NA,549378,5830
NA,549548,5830
NA,549679,5830
NA,549844,5830
NA,550126,5830
NA,550146,5830
NA,550219,5830
NA,550219,5830
NA,550388,5831
NA,550388,5831
NA,550522,5832
NA,550613,5832
NA,550613,5832
NA,550624,5832
NA,550641,5832
NA,550657,5832
NA,550716,5832
NA,550716,5832
NA,550740,5834
NA,550754,5834
NA,550779,5834
NA,550802,5834
NA,550802,5834
NA,550820,5834
NA,550997,5837
NA,550997,5837
NA,551024,5837
NA,551024,5837
NA,551062,5837
NA,551191,5840
NA,551191,5840
NA,551204,5840
NA,551283,5840
NA,551295,5840
NA,551297,5840
NA,551351,5840
NA,551389,5843
NA,551399,5845
NA,551399,5845
NA,551412,5845
NA,551542,5845
NA,551587,5845
NA,551587,5845
NA,551601,5845
NA,551601,5845
NA,551619,5847
NA,551645,5849
NA,551645,5849
NA,551647,5849
NA,551666,5851
NA,551673,5851
NA,551673,5851
NA,551673,5851
NA,551720,5851
NA,551801,5851
NA,551804,5851
NA,551874,5851
NA,551886,5851
NA,551904,5852
NA,551904,5852
NA,551911,5852
NA,551911,5852
NA,551928,5852
NA,551940,5852
NA,551954,5852
NA,551954,5852
NA,551957,5852
NA,551974,5853
NA,551974,5853
NA,551981,5853
NA,551986,5854
NA,551986,5854
NA,552014,5854
NA,552051,5854
NA,552051,5854
NA,552125,5854
NA,552157,5854
NA,552157,5854
NA,552162,5854
